date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2023-10-11,1101.TW,2023,Q4,33.15,33.2,32.85,33.1,33.1,16116392,16116392,-0.05,-0.15083,33.05,"October 11, 23",-0.0015083,33.825,33.667182325926,33.3902380952381,32.78792622878008,32.68391185366783,-82.75862068965516,35.48257536077287,28.44444587041599,0.920529738791746
2023-10-06,1101.TW,2023,Q4,32.75,33.1,32.7,32.8,32.8,15457787,15457787,0.05,0.15267,32.87,"October 06, 23",0.0015267,33.87500000000001,33.72688572865505,33.46404761904762,32.81477976085439,32.66696663349664,-93.1034482758622,31.236551704345217,28.018123379730206,0.9068489400115106
2023-10-05,1101.TW,2023,Q4,32.75,32.95,32.6,32.75,32.75,17179768,17179768,0.0,0.0,32.77,"October 05, 23",0.0,33.95250000000001,33.82445264746084,33.57380952380953,32.91390244396064,32.752085804339366,-94.8275862068966,30.512474984352536,27.386271295720224,0.8774216489237087
2023-10-04,1101.TW,2023,Q4,33.0,33.15,32.85,32.9,32.9,20311826,20311826,-0.1,-0.30303,32.97,"October 04, 23",-0.0030303,34.03500000000001,33.937552926140924,33.69619047619048,33.04425561147868,32.88265853020892,-98.11320754716992,31.456497073046563,26.443531947023292,0.8371230494975036
2023-10-03,1101.TW,2023,Q4,33.2,33.3,33.05,33.2,33.2,10139463,10139463,0.0,0.0,33.18,"October 03, 23",0.0,34.14000000000001,34.046769023629444,33.81428571428572,33.16865651017549,33.00523401103298,-88.4615384615383,33.4211205416149,25.633796075819667,0.8196950652529266
2023-10-02,1101.TW,2023,Q4,33.3,33.3,33.05,33.1,33.1,13813944,13813944,-0.2,-0.6006,33.15,"October 02, 23",-0.006006,34.24,34.13590260506412,33.91333333333333,33.254490776891785,33.07056659470013,-92.30769230769221,32.07778924692744,24.936514208857922,0.820914124619622
2023-09-28,1101.TW,2023,Q3,33.1,33.3,33.05,33.25,33.25,18217658,18217658,0.15,0.45317,33.2,"September 28, 23",0.0045317,34.347500000000004,34.24494498454455,34.03214285714286,33.37979534341346,33.19277290803234,-86.53846153846149,33.02737811233011,24.20253329626661,0.8052134810098504
2023-09-27,1101.TW,2023,Q3,33.0,33.2,32.9,33.05,33.05,15043077,15043077,0.05,0.15152,33.05,"September 27, 23",0.0015152,34.432500000000005,34.349676035549244,34.14476190476191,33.49818906214589,33.305142722347135,-94.23076923076928,30.418290766376685,23.429921809328384,0.773995316523298
2023-09-26,1101.TW,2023,Q3,33.1,33.3,33.0,33.0,33.0,18175159,18175159,-0.1,-0.30211,33.1,"September 26, 23",-0.0030211,34.545,34.48648403929127,34.28714285714286,33.68217486190327,33.515985650772635,-100.0,29.768479854592854,22.45441205035811,0.7269628601242293
2023-09-25,1101.TW,2023,Q3,33.4,33.45,33.0,33.1,33.1,29278663,29278663,-0.3,-0.8982,33.18,"September 25, 23",-0.008982,34.665000000000006,34.64295604342719,34.44571428571429,33.91045474623953,33.79857981413757,-96.1538461538461,30.306226075107475,21.49335095660802,0.6567153112270184
